zipcode,city,state,metro,county,size_rank_zhvi,2017-06,size_rank_zri
15601,Greensburg,PA,Pittsburgh,Westmoreland,103,144500,125
93722,Fresno,CA,Fresno,Fresno,104,226600,126
48180,Taylor,MI,Detroit,Wayne,105,89100,127
78245,San Antonio,TX,San Antonio,Bexar,106,152200,128
17603,Lancaster,PA,Lancaster,Lancaster,107,146400,129
95608,Carmichael,CA,Sacramento,Sacramento,108,374500,130
85308,Glendale,AZ,Phoenix,Maricopa,109,269800,131
94533,Fairfield,CA,Vallejo,Solano,110,342400,132
60611,Chicago,IL,Chicago,Cook,111,320300,133
14850,Ithaca,NY,Ithaca,Tompkins,112,258600,135
87114,Albuquerque,NM,Albuquerque,Bernalillo,113,214200,136
33024,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,114,241500,137
80013,Aurora,CO,Denver,Arapahoe,115,309300,138
20906,Silver Spring,MD,Washington,Montgomery,116,328900,139
37075,Hendersonville,TN,Nashville,Sumner,117,259500,140
11211,New York,NY,New York,Kings,118,1091300,141
90066,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,119,1235800,142
11373,New York,NY,New York,Queens,120,475300,143
11385,New York,NY,New York,Queens,121,644100,144
85281,Tempe,AZ,Phoenix,Maricopa,122,220900,145
44060,Mentor,OH,Cleveland,Lake,123,164000,146
43081,Westerville,OH,Columbus,Franklin,124,196900,147
28027,Concord,NC,Charlotte,Cabarrus,125,200500,149
85364,Yuma,AZ,Yuma,Yuma,126,125000,150
8753,Toms River,NJ,New York,Ocean,127,261700,151
92677,Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange,128,796000,152
91709,Chino Hills,CA,Riverside,San Bernardino,129,638900,153
65807,Springfield,MO,Springfield,Greene,130,112200,154
60620,Chicago,IL,Chicago,Cook,131,140000,155
75034,Frisco,TX,Dallas-Fort Worth,Collin,132,432200,156
60634,Chicago,IL,Chicago,Cook,133,253200,158
95823,Sacramento,CA,Sacramento,Sacramento,134,255200,159
92804,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,135,547400,160
27410,Greensboro,NC,,Guilford,136,205300,161
6902,Stamford,CT,Stamford,Fairfield,137,371300,162
43123,Grove City,OH,Columbus,Franklin,138,163100,163
20011,Washington,DC,Washington,District of Columbia,139,562100,164
60016,Des Plaines,IL,Chicago,Cook,140,214200,165
92109,San Diego,CA,San Diego,San Diego,141,769000,166
45011,Hamilton,OH,Cincinnati,Butler,142,182100,167
60628,Chicago,IL,Chicago,Cook,143,113900,168
90019,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,144,1019900,169
91911,Chula Vista,CA,San Diego,San Diego,145,444200,170
44256,Medina,OH,Cleveland,Medina,146,208000,171
76028,Burleson,TX,Dallas-Fort Worth,Johnson,147,189900,172
33908,Fort Myers,FL,Fort Myers,Lee,148,235500,#N/A
2148,Malden,MA,Boston,Middlesex,149,399200,173
89121,Las Vegas,NV,Las Vegas,Clark,150,172800,175
33647,Tampa,FL,Tampa,Hillsborough,151,265000,176
89117,Las Vegas,NV,Las Vegas,Clark,152,281200,177
47906,West Lafayette,IN,Lafayette-West Lafayette,Tippecanoe,153,178300,178
92345,Hesperia,CA,Riverside,San Bernardino,154,230500,179
43130,Lancaster,OH,Columbus,Fairfield,155,132100,180
28314,Fayetteville,NC,Fayetteville,Cumberland,156,101600,182
40475,Richmond,KY,Richmond,Madison,157,161900,183
94536,Fremont,CA,San Francisco,Alameda,158,918100,184
92503,Riverside,CA,Riverside,Riverside,159,355400,185
65203,Columbia,MO,Columbia,Boone,160,199800,186
7002,Bayonne,NJ,New York,Hudson,161,338600,#N/A
19111,Philadelphia,PA,Philadelphia,Philadelphia,162,166400,187
92126,San Diego,CA,San Diego,San Diego,163,551700,188
27406,Greensboro,NC,,Guilford,164,114700,190
91730,Rancho Cucamonga,CA,Riverside,San Bernardino,165,414000,191
90201,Bell,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,166,456100,192
97229,Cedar Mill,OR,Portland,Washington,167,540200,193
29732,Rock Hill,SC,Charlotte,York,168,176200,194
27610,Raleigh,NC,Raleigh,Wake,169,149900,195
98103,Seattle,WA,Seattle,King,170,753200,197
10457,New York,NY,New York,Bronx,171,376300,198
21740,Hagerstown,MD,Hagerstown,Washington,172,150200,199
77095,Houston,TX,Houston,Harris,173,212400,200
32822,Orlando,FL,Orlando,Orange,174,142600,201
22191,Woodbridge,VA,Washington,Prince William,175,293800,202
90280,South Gate,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,176,415000,203
60626,Chicago,IL,Chicago,Cook,177,149600,204
92592,Temecula,CA,Riverside,Riverside,178,436100,205
87120,Albuquerque,NM,Albuquerque,Bernalillo,179,190500,206
98012,Bothell,WA,Seattle,Snohomish,180,498600,207
90004,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,181,1296300,209
92336,Fontana,CA,Riverside,San Bernardino,182,418800,210
30062,Marietta,GA,Atlanta,Cobb,183,310600,211
46307,Crown Point,IN,Chicago,Lake,184,201100,212
33012,Hialeah,FL,Miami-Fort Lauderdale,Miami-Dade,185,196100,213
80134,Parker,CO,Denver,Douglas,186,439900,214
23454,Virginia Beach,VA,Virginia Beach,Virginia Beach City,187,280800,215
46227,Indianapolis,IN,Indianapolis,Marion,188,121100,216
11238,New York,NY,New York,Kings,189,972000,217
74012,Broken Arrow,OK,Tulsa,Tulsa,190,146700,218
21117,Owings Mills,MD,Baltimore,Baltimore,191,242900,219
90706,Bellflower,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,192,483600,220
60649,Chicago,IL,Chicago,Cook,193,128300,221
7093,West New York,NJ,New York,Hudson,194,343700,222
99301,Pasco,WA,Kennewick,Franklin,195,194100,225
32244,Jacksonville,FL,Jacksonville,Duval,196,138700,226
11233,New York,NY,New York,Kings,197,733900,227
48103,Ann Arbor,MI,Ann Arbor,Washtenaw,198,342400,228
33186,The Crossings,FL,Miami-Fort Lauderdale,Miami-Dade,199,283400,229
92335,Fontana,CA,Riverside,San Bernardino,200,320300,230
92021,El Cajon,CA,San Diego,San Diego,201,458200,231
85705,Tucson,AZ,Tucson,Pima,202,132000,232
20019,Washington,DC,Washington,District of Columbia,203,294000,233
76063,Mansfield,TX,Dallas-Fort Worth,Tarrant,204,257600,234
43230,Gahanna,OH,Columbus,Franklin,205,188500,235
23320,Chesapeake,VA,Virginia Beach,Chesapeake City,206,237700,236
22193,Woodbridge,VA,Washington,Prince William,207,298600,237
93065,Simi Valley,CA,Ventura,Ventura,208,543900,238
45840,Findlay,OH,Findlay,Hancock,209,133900,#N/A
48185,Westland,MI,Detroit,Wayne,210,137700,239
75217,Dallas,TX,Dallas-Fort Worth,Dallas,211,83800,240
44130,Parma Heights,OH,Cleveland,Cuyahoga,212,128200,242
92101,San Diego,CA,San Diego,San Diego,213,552400,243
22304,Alexandria,VA,Washington,Alexandria City,214,307400,244
91342,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,215,476700,245
11223,New York,NY,New York,Kings,216,850400,246
30331,Atlanta,GA,Atlanta,Fulton,217,128200,247
20878,Gaithersburg,MD,Washington,Montgomery,218,529600,248
30080,Smyrna,GA,Atlanta,Cobb,219,230300,249
92627,Costa Mesa,CA,Los Angeles-Long Beach-Anaheim,Orange,220,707400,250
33311,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,221,158000,251
30188,Woodstock,GA,Atlanta,Cherokee,222,209300,253
2155,Medford,MA,Boston,Middlesex,223,523300,255
37130,Murfreesboro,TN,Nashville,Rutherford,224,183900,256
90011,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,225,388300,257
87121,Albuquerque,NM,Albuquerque,Bernalillo,226,138900,258
43701,Zanesville,OH,Zanesville,Muskingum,227,108500,259
32256,Jacksonville,FL,Jacksonville,Duval,228,171100,260
33027,Miramar,FL,Miami-Fort Lauderdale,Broward,229,307900,261
23666,Hampton,VA,Virginia Beach,Hampton City,230,171600,262
19124,Philadelphia,PA,Philadelphia,Philadelphia,231,90900,263
90025,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,232,878500,264
30022,Johns Creek,GA,Atlanta,Fulton,233,390800,265
90027,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,234,1417300,266
58103,Fargo,ND,Fargo,Cass,235,186400,268
33064,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,236,177400,269
34135,Bonita Springs,FL,Fort Myers,Lee,237,278300,270
30040,Cumming,GA,Atlanta,Forsyth,238,266800,271
79938,El Paso,TX,El Paso,El Paso,239,131300,272
32218,Jacksonville,FL,Jacksonville,Duval,240,158400,273
77845,College Station,TX,College Station,Brazos,241,231900,274
33063,Margate,FL,Miami-Fort Lauderdale,Broward,242,160000,275
44077,Painesville,OH,Cleveland,Lake,243,141400,276
43026,Hilliard,OH,Columbus,Franklin,244,198900,278
23452,Virginia Beach,VA,Virginia Beach,Virginia Beach City,245,237500,279
30052,Loganville,GA,Atlanta,Walton,246,183200,280
10701,Yonkers,NY,New York,Westchester,247,432100,281
90731,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,248,565900,282
27587,Wake Forest,NC,Raleigh,Wake,249,280800,283
33313,Lauderhill,FL,Miami-Fort Lauderdale,Broward,250,68600,284
80634,Greeley,CO,Greeley,Weld,251,270600,285
34711,Clermont,FL,Orlando,Lake,252,239100,286
91335,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,253,503900,287
71913,Hot Springs,AR,Hot Springs,Garland,254,146500,288
38401,Columbia,TN,Nashville,Maury,255,153800,289
97402,Eugene,OR,Eugene,Lane,256,223600,290
95123,San Jose,CA,San Jose,Santa Clara,257,822000,291
60616,Chicago,IL,Chicago,Cook,258,244700,292
32174,Ormond Beach,FL,Daytona Beach,Volusia,259,228100,293
94544,Hayward,CA,San Francisco,Alameda,260,570500,295
30041,Cumming,GA,Atlanta,Forsyth,261,324900,296
2360,Plymouth,MA,Boston,Plymouth,262,338400,297
20001,Washington,DC,Washington,District of Columbia,263,643200,298
43228,Columbus,OH,Columbus,Franklin,264,106800,299
93550,Palmdale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,265,239300,300
89052,Henderson,NV,Las Vegas,Clark,266,361900,301
30318,Atlanta,GA,Atlanta,Fulton,267,156100,302
11208,New York,NY,New York,Kings,268,454200,303
21215,Baltimore,MD,Baltimore,Baltimore City,269,100900,304
72401,Jonesboro,AR,Jonesboro,Craighead,270,121100,306
94509,Antioch,CA,San Francisco,Contra Costa,271,366800,307
63123,Affton,MO,St. Louis,Saint Louis,272,142000,308
95747,Roseville,CA,Sacramento,Placer,273,450200,309
93309,Bakersfield,CA,Bakersfield,Kern,274,188400,311
89123,Las Vegas,NV,Las Vegas,Clark,275,252800,312
20147,Ashburn,VA,Washington,Loudoun,276,479300,313
40601,Frankfort,KY,Frankfort,Franklin,277,131000,314
19446,Lansdale,PA,Philadelphia,Montgomery,278,294300,315
8831,Monroe Township,NJ,New York,Middlesex,279,326300,316
43068,Reynoldsburg,OH,Columbus,Franklin,280,147500,317
34953,Port Saint Lucie,FL,Port St. Lucie,Saint Lucie,281,203800,318
7087,Union City,NJ,New York,Hudson,282,355900,319
78501,McAllen,TX,McAllen,Hidalgo,283,107000,320
35242,Hoover,AL,Birmingham,Jefferson,284,337300,321
95687,Vacaville,CA,Vallejo,Solano,285,387600,322
45601,Chillicothe,OH,Chillicothe,Ross,286,112300,323
94122,San Francisco,CA,San Francisco,San Francisco,287,1278500,324
75056,The Colony,TX,Dallas-Fort Worth,Denton,288,269200,325
29072,Lexington,SC,Columbia,Lexington,289,192400,326
91710,Chino,CA,Riverside,San Bernardino,290,455300,327
27713,Durham,NC,Durham,Durham,291,227200,328
23223,Richmond,VA,Richmond,Richmond City,292,138800,329
60453,Oak Lawn,IL,Chicago,Cook,293,182800,330
7302,Jersey City,NJ,New York,Hudson,294,728300,331
60641,Chicago,IL,Chicago,Cook,295,273700,332
93535,Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,296,221800,333
60622,Chicago,IL,Chicago,Cook,297,416100,334
32225,Jacksonville,FL,Jacksonville,Duval,298,222200,335
93536,Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,299,322300,336
93257,Porterville,CA,Visalia,Tulare,300,177600,337
23451,Virginia Beach,VA,Virginia Beach,Virginia Beach City,301,379600,338
93727,Fresno,CA,Fresno,Fresno,302,232500,339
28078,Huntersville,NC,Charlotte,Mecklenburg,303,271900,340
19120,Philadelphia,PA,Philadelphia,Philadelphia,304,92200,342
48823,East Lansing,MI,Lansing,Ingham,305,183900,343
93306,Bakersfield,CA,Bakersfield,Kern,306,185800,344
32828,Orlando,FL,Orlando,Orange,307,278500,345
60660,Chicago,IL,Chicago,Cook,308,177200,346
76116,Fort Worth,TX,Dallas-Fort Worth,Tarrant,309,172300,347
2301,Brockton,MA,Boston,Plymouth,310,266400,348
80525,Fort Collins,CO,Fort Collins,Larimer,311,368100,349
33321,Tamarac,FL,Miami-Fort Lauderdale,Broward,312,173900,350
55901,Rochester,MN,Rochester,Olmsted,313,190900,351
19720,New Castle,DE,Philadelphia,New Castle,314,178700,352
30135,Douglasville,GA,Atlanta,Douglas,315,154700,353
22204,Arlington,VA,Washington,Arlington,316,488000,354
11204,New York,NY,New York,Kings,317,876800,355
80015,Centennial,CO,Denver,Arapahoe,318,367100,356
95758,Elk Grove,CA,Sacramento,Sacramento,319,363700,357
19020,Bensalem,PA,Philadelphia,Bucks,320,239500,358
30127,Powder Springs,GA,Atlanta,Cobb,321,175900,359
60056,Mount Prospect,IL,Chicago,Cook,322,302700,360
21122,Pasadena,MD,Baltimore,Anne Arundel,323,306100,361
27707,Durham,NC,Durham,Durham,324,209800,362
21222,Dundalk,MD,Baltimore,Baltimore,325,139300,364
20874,Germantown,MD,Washington,Montgomery,326,285400,365
11219,New York,NY,New York,Kings,327,910000,366
33319,Lauderhill,FL,Miami-Fort Lauderdale,Broward,328,95900,367
85282,Tempe,AZ,Phoenix,Maricopa,329,259200,368
60085,Waukegan,IL,Chicago,Lake,330,110300,369
95076,Watsonville,CA,Santa Cruz,Santa Cruz,331,532600,370
77840,College Station,TX,College Station,Brazos,332,178400,371
33467,Greenacres,FL,Miami-Fort Lauderdale,Palm Beach,333,277700,372
89031,North Las Vegas,NV,Las Vegas,Clark,334,211900,373
94538,Fremont,CA,San Francisco,Alameda,335,823500,374
93307,Bakersfield,CA,Bakersfield,Kern,336,159300,376
31907,Columbus,GA,Columbus,Muscogee,337,79000,377
60615,Chicago,IL,Chicago,Cook,338,188800,378
29730,Rock Hill,SC,Charlotte,York,339,139300,379
33157,Village of Palmetto Bay,FL,Miami-Fort Lauderdale,Miami-Dade,340,282500,380
98133,Shoreline,WA,Seattle,King,341,526700,381
94541,Hayward,CA,San Francisco,Alameda,342,569100,382
29223,Columbia,SC,Columbia,Richland,343,116700,383
28601,Hickory,NC,Hickory,Catawba,344,136900,384
11225,New York,NY,New York,Kings,345,942200,385
32792,Goldenrod,FL,Orlando,Seminole,346,220000,386
90802,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,347,342500,387
11213,New York,NY,New York,Kings,348,977600,388
31419,Savannah,GA,Savannah,Chatham,349,153600,389
63021,Ballwin,MO,St. Louis,Saint Louis,350,228800,390
95035,Milpitas,CA,San Jose,Santa Clara,351,891000,392
11368,New York,NY,New York,Queens,352,457800,394
92115,San Diego,CA,San Diego,San Diego,353,463900,396
29445,Goose Creek,SC,Charleston,Berkeley,354,165900,397
14580,Town of Webster,NY,Rochester,Monroe,355,186600,398
27284,Kernersville,NC,Winston-Salem,Forsyth,356,158300,399
63129,Oakville,MO,St. Louis,Saint Louis,357,210900,400
92104,San Diego,CA,San Diego,San Diego,358,585100,401
70726,Denham Springs,LA,Baton Rouge,Livingston,359,171900,403
20020,Washington,DC,Washington,District of Columbia,360,305700,404
15301,Washington,PA,Pittsburgh,Washington,361,143700,#N/A
90631,La Habra,CA,Los Angeles-Long Beach-Anaheim,Orange,362,573200,405
6516,West Haven,CT,New Haven,New Haven,363,164800,406
85022,Phoenix,AZ,Phoenix,Maricopa,364,259400,407
93274,Tulare,CA,Visalia,Tulare,365,184200,408
11203,New York,NY,New York,Kings,366,484700,409
85301,Glendale,AZ,Phoenix,Maricopa,367,144400,411
92646,Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,368,785700,412
93230,Hanford,CA,Hanford,Kings,369,195300,413
30909,Augusta,GA,Augusta,Richmond,370,133500,414
30004,Milton,GA,Atlanta,Fulton,371,391500,415
75002,Allen,TX,Dallas-Fort Worth,Collin,372,285400,416
1960,Peabody,MA,Boston,Essex,373,401600,417
94587,Union City,CA,San Francisco,Alameda,374,778700,418
30906,Augusta,GA,Augusta,Richmond,375,62700,419
92647,Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,376,701300,420
66061,Olathe,KS,Kansas City,Johnson,377,210300,421
31088,Warner Robins,GA,Warner Robins,Houston,378,117500,422
92630,Lake Forest,CA,Los Angeles-Long Beach-Anaheim,Orange,379,670900,423
95051,Santa Clara,CA,San Jose,Santa Clara,380,1142400,424
98115,Seattle,WA,Seattle,King,381,785400,425
32608,Gainesville,FL,Gainesville,Alachua,382,198600,428
85008,Phoenix,AZ,Phoenix,Maricopa,383,170700,429
97045,Oregon City,OR,Portland,Clackamas,384,370100,430
89110,Las Vegas,NV,Las Vegas,Clark,385,165600,431
92376,Rialto,CA,Riverside,San Bernardino,386,305500,433
33511,Brandon,FL,Tampa,Hillsborough,387,195200,435
95355,Modesto,CA,Modesto,Stanislaus,388,301700,436
98632,Longview,WA,Longview,Cowlitz,389,158900,438
21224,Baltimore,MD,Baltimore,Baltimore City,390,188800,439
92154,San Diego,CA,San Diego,San Diego,391,435900,440
33458,Jupiter,FL,Miami-Fort Lauderdale,Palm Beach,392,316200,441
43229,Columbus,OH,Columbus,Franklin,393,137900,442
34787,Winter Garden,FL,Orlando,Orange,394,267400,443
97401,Eugene,OR,Eugene,Lane,395,302700,444
32246,Jacksonville,FL,Jacksonville,Duval,396,163300,445
29485,Summerville,SC,Charleston,Dorchester,397,199300,446
33414,Wellington,FL,Miami-Fort Lauderdale,Palm Beach,398,356300,447
27705,Durham,NC,Durham,Durham,399,245500,448
67401,Salina,KS,Salina,Saline,400,105800,449
37167,Smyrna,TN,Nashville,Rutherford,401,193800,450
17331,Hanover,PA,York,York,402,164100,451
21061,Glen Burnie,MD,Baltimore,Anne Arundel,403,245600,452
95014,Cupertino,CA,San Jose,Santa Clara,404,1853700,453
99208,Spokane,WA,Spokane,Spokane,405,230500,454
85345,Peoria,AZ,Phoenix,Maricopa,406,180900,455
74133,Tulsa,OK,Tulsa,Tulsa,407,177700,456
95670,Rancho Cordova,CA,Sacramento,Sacramento,408,300100,457
92105,San Diego,CA,San Diego,San Diego,409,401800,458
46143,Greenwood,IN,Indianapolis,Johnson,410,157200,459
98682,Vancouver,WA,Portland,Clark,411,280900,460
60148,Lombard,IL,Chicago,Du Page,412,255700,461
45013,Hamilton,OH,Cincinnati,Butler,413,133200,462
32303,Tallahassee,FL,Tallahassee,Leon,414,134100,463
87124,Rio Rancho,NM,Albuquerque,Sandoval,415,158600,464
85251,Scottsdale,AZ,Phoenix,Maricopa,416,288500,465
19067,Lower Makefield,PA,Philadelphia,Bucks,417,354800,466
20852,North Bethesda,MD,Washington,Montgomery,418,407700,467
30066,Marietta,GA,Atlanta,Cobb,419,236500,468
19134,Philadelphia,PA,Philadelphia,Philadelphia,420,54000,469
79924,El Paso,TX,El Paso,El Paso,421,91700,470
30253,McDonough,GA,Atlanta,Henry,422,160200,471
60637,Chicago,IL,Chicago,Cook,423,149100,472
28210,Charlotte,NC,Charlotte,Mecklenburg,424,311000,473
38655,Oxford,MS,Oxford,Lafayette,425,192500,474
94080,South San Francisco,CA,San Francisco,San Mateo,426,869700,475
28215,Charlotte,NC,Charlotte,Mecklenburg,427,145500,476
75035,Frisco,TX,Dallas-Fort Worth,Collin,428,350500,477
70072,Marrero,LA,New Orleans,Jefferson,429,131100,478
83301,Twin Falls,ID,Twin Falls,Twin Falls,430,155000,479
72712,Bentonville,AR,Fayetteville,Benton,431,195400,480
33433,Boca Raton,FL,Miami-Fort Lauderdale,Palm Beach,432,272100,482
47150,New Albany,IN,Louisville/Jefferson County,Floyd,433,123100,483
10014,New York,NY,New York,New York,434,1664400,486
90640,Montebello,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,435,516400,487
14094,Town of Lockport,NY,Buffalo,Niagara,436,125800,#N/A
28655,Morganton,NC,Hickory,Burke,437,111800,#N/A
78758,Austin,TX,Austin,Travis,438,237800,488
33015,Country Club,FL,Miami-Fort Lauderdale,Miami-Dade,439,224100,489
78759,Austin,TX,Austin,Travis,440,417000,490
28216,Charlotte,NC,Charlotte,Mecklenburg,441,137900,491
59901,Kalispell,MT,Kalispell,Flathead,442,192600,#N/A
92648,Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,443,906900,492
38305,Jackson,TN,Jackson,Madison,444,125900,493
45044,Middletown,OH,Cincinnati,Butler,445,120100,494
23322,Chesapeake,VA,Virginia Beach,Chesapeake City,446,333700,495
37027,Brentwood,TN,Nashville,Williamson,447,557300,496
78741,Austin,TX,Austin,Travis,448,199200,497
32765,Oviedo,FL,Orlando,Seminole,449,278200,498
